Date;EUR to SEK;EUR to USD;1 SEK in EUR;1 USD in EUR;100 SEK in EUR;100 USD in EUR
2019.05.03;10.704;1.115;0.0934;0.896;9.34;89.64
2019.05.04;10.704;1.115;0.0934;0.896;9.34;89.64
2019.05.05;10.704;1.115;0.0934;0.896;9.34;89.64
2019.05.06;10.725;1.119;0.0932;0.892;9.32;89.29
2019.05.07;10.714;1.118;0.0933;0.894;9.33;89.41
2019.05.08;10.749;1.120;0.0930;0.892;9.30;89.27
2019.05.09;10.797;1.119;0.0926;0.893;9.26;89.34
2019.05.10;10.810;1.12;0.092;0.890;9.25;89.05
2019.05.11;10.810;1.12;0.092;0.890;9.25;89.05
2019.05.12;10.810;1.12;0.092;0.890;9.25;89.05
2019.05.13;10.832;1.124;0.0923;0.889;9.23;88.92
2019.05.14;10.77;1.122;0.0927;0.890;9.27;89.08
2019.05.15;10.768;1.118;0.0928;0.894;9.28;89.42
2019.05.16;10.75;1.120;0.0929;0.892;9.29;89.25
2019.05.17;10.76;1.117;0.0928;0.895;9.28;89.51
2019.05.18;10.76;1.117;0.0928;0.895;9.28;89.51
2019.05.19;10.76;1.117;0.0928;0.895;9.28;89.51
2019.05.20;10.766;1.116;0.0928;0.895;9.28;89.55
2019.05.21;10.774;1.116;0.0928;0.89;9.28;89.60
2019.05.22;10.7;1.117;0.0929;0.895;9.29;89.52
2019.05.23;10.737;1.113;0.0931;0.897;9.31;89.77
2019.05.24;10.709;1.118;0.0933;0.893;9.33;89.39
2019.05.25;10.709;1.118;0.0933;0.893;9.33;89.39
2019.05.26;10.709;1.118;0.0933;0.893;9.33;89.39
2019.05.27;10.714;1.119;0.0933;0.89;9.33;89.3
2019.05.28;10.686;1.119;0.0935;0.893;9.35;89.35
2019.05.29;10.706;1.115;0.093;0.896;9.34;89.64
2019.05.30;10.632;1.113;0.0940;0.898;9.40;89.81
